SERIAL,CIRCULATION_MARKET_VALUE<140>,TRADING_VOLUMES{2025-10-17},TOAL_MARKET_VALUE<140>{2025-10-17},CHG,PCHG{2025-10-17},BOTTOM_PRICE<140>{2025-10-17},VOLUME{2025-10-17},PEAK_PRICE<140>{2025-10-17},MARKET_SHORT_NAME,SECURITY_CODE,QRR{2025-10-17},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE{2025-10-17},IFSTSTOCK{2025-10-17},MARKET_NUM,IN_OPTIONAL,PETTM{2025-10-17},PE_DYNAMIC{2025-10-17}
114,519.58亿,5.42亿,519.58亿,-2.49,-0.29,11.36,4705.97万,11.71,SH,601878,0.99,1.45,11.36,浙商证券,否,1.03,否,1,False,22.63,22.61
115,3641.73亿,65.77亿,9521.09亿,-2.37,-2.53,104.26,6257.25万,106.63,SZ,002594,1.01,4.52,104.43,比亚迪,否,1.79,否,0,False,22.60,30.69
116,1157.95亿,65.81亿,1167.29亿,-4.98,-3.22,60.98,1.06亿,65.37,SH,603799,0.84,2.58,61.46,华友钴业,否,5.62,否,1,False,22.47,20.76
117,873.62亿,10.17亿,873.62亿,-5.01,-4.04,76.53,1302.35万,80.88,SH,688036,0.88,4.41,76.61,传音控股,否,1.14,否,1,False,22.34,36.02
118,954.47亿,53.32亿,954.47亿,-5.88,-1.18,18.87,2.76亿,20.40,SH,600089,0.80,1.44,18.89,特变电工,否,5.45,否,1,False,22.27,14.99
119,557.02亿,5.88亿,557.02亿,-2.27,-0.15,6.45,8998.74万,6.65,SH,601377,0.98,1.01,6.45,兴业证券,否,1.04,否,1,False,21.82,20.94
120,2308.42亿,182.69亿,3010.51亿,-10.91,-17.79,144.98,1.21亿,160.93,SZ,300274,1.08,7.42,145.21,阳光电源,否,7.62,否,0,False,21.80,19.46
121,446.79亿,12.08亿,682.68亿,-4.96,-1.03,19.72,6001.21万,20.90,SH,600875,0.70,1.61,19.74,东方电气,否,2.65,否,1,False,21.74,17.87
122,1707.05亿,10.84亿,1859.35亿,-1.42,-0.13,9.01,1.19亿,9.21,SH,601985,0.64,1.64,9.04,中国核电,否,0.63,否,1,False,21.72,16.41
123,1721.39亿,11.85亿,1729.99亿,-1.65,-0.46,27.31,4295.20万,27.96,SH,600887,0.87,3.25,27.35,伊利股份,否,0.68,否,1,False,21.30,12.01
124,1789.20亿,3.21亿,1851.93亿,-0.60,-0.06,9.89,3215.53万,10.05,SH,600025,0.84,2.81,9.94,华能水电,否,0.18,否,1,False,21.20,20.09
125,2389.19亿,38.87亿,2882.31亿,-4.41,-4.46,96.46,3964.19万,101.26,SH,603259,0.72,4.81,96.60,药明康德,否,1.60,否,1,False,20.93,16.83
126,1229.27亿,7.67亿,1229.27亿,-0.46,-0.02,4.29,1.78亿,4.35,SH,600905,1.04,1.39,4.30,三峡能源,否,0.62,否,1,False,20.87,16.11
127,1557.67亿,7.19亿,1999.75亿,-1.49,-0.06,3.94,1.81亿,4.03,SZ,003816,0.67,1.66,3.96,中国广核,否,0.46,否,0,False,20.71,16.80
128,847.79亿,15.74亿,964.37亿,-1.73,-0.20,11.32,1.37亿,11.74,SH,600958,0.98,1.21,11.35,东方证券,否,1.83,否,1,False,20.51,13.92
129,664.33亿,9.08亿,664.33亿,-1.47,-0.12,8.05,1.11亿,8.25,SH,601901,0.82,1.33,8.07,方正证券,否,1.35,否,1,False,20.50,13.93
130,1.82万亿,55.95亿,1.82万亿,-2.01,-29.91,1454.03,380.86万,1488.00,SH,600519,0.80,7.63,1455.00,贵州茅台,否,0.30,否,1,False,20.26,20.07
131,1015.63亿,3.39亿,1016.38亿,0.63,0.38,59.39,559.20万,61.35,SZ,002311,0.83,4.22,61.09,海大集团,否,0.34,否,0,False,20.26,18.40
132,1078.83亿,10.00亿,1078.83亿,0.54,0.04,7.43,1.32亿,7.69,SZ,002027,0.97,6.60,7.47,分众传媒,否,0.91,否,0,False,20.25,20.24
133,1557.42亿,6.66亿,1557.42亿,0.00,0.00,7.12,9265.87万,7.27,SH,600019,0.78,0.76,7.15,宝钢股份,否,0.43,否,1,False,20.24,15.96
134,6748.44亿,32.36亿,6878.02亿,-0.18,-0.05,28.06,1.15亿,28.38,SH,600900,1.12,3.33,28.11,长江电力,否,0.48,否,1,False,20.12,26.34
135,479.37亿,3.60亿,922.20亿,-0.79,-0.54,67.50,529.23万,68.50,SH,600600,0.83,3.08,67.60,青岛啤酒,否,0.75,否,1,False,20.01,11.81
136,649.51亿,13.76亿,649.51亿,-4.73,-3.55,71.33,1907.47万,74.71,SH,605117,0.93,6.79,71.55,德业股份,否,2.10,否,1,False,20.00,21.33
137,6211.38亿,92.93亿,8018.45亿,-0.98,-0.30,30.03,3.04亿,31.30,SH,601899,0.73,5.71,30.17,紫金矿业,否,1.48,否,1,False,19.92,15.88
138,1035.74亿,12.38亿,1310.46亿,-5.11,-0.60,11.03,1.10亿,11.73,SZ,000425,0.95,2.17,11.15,徐工机械,否,1.18,否,0,False,19.86,15.03
139,2524.56亿,10.30亿,2524.56亿,-0.39,-0.02,5.14,1.99亿,5.22,SH,601816,1.04,1.26,5.16,京沪高铁,否,0.41,否,1,False,19.84,19.99
140,1011.56亿,5.15亿,1018.10亿,-1.13,-0.65,57.00,895.58万,57.95,SZ,000538,0.89,2.64,57.06,云南白药,否,0.51,否,0,False,19.60,14.01
141,576.79亿,22.98亿,576.79亿,-5.16,-0.92,16.84,1.33亿,18.15,SH,600522,0.97,1.62,16.90,中天科技,否,3.90,否,1,False,19.58,18.40
142,796.10亿,1.26亿,799.58亿,-1.25,-0.56,44.20,285.00万,44.76,SH,603195,0.85,5.44,44.21,公牛集团,否,0.16,否,1,False,19.53,19.41
143,51.52亿,3.08亿,503.72亿,-3.11,-0.33,10.25,2944.13万,10.82,SH,601061,0.73,2.24,10.28,中信金属,否,5.87,否,1,False,19.52,17.39
144,704.28亿,3.11亿,705.12亿,-1.74,-0.71,40.07,763.97万,41.62,SZ,000963,0.63,2.97,40.20,华东医药,否,0.44,否,0,False,19.42,19.43
145,2389.91亿,9.19亿,2389.91亿,-1.46,-2.90,195.52,465.59万,199.98,SH,600809,0.85,6.66,195.90,山西汾酒,否,0.38,否,1,False,19.37,14.05
146,611.28亿,8.02亿,611.28亿,-3.54,-0.56,15.20,5186.28万,15.86,SH,600176,0.93,1.99,15.27,中国巨石,否,1.30,否,1,False,19.28,18.12
147,2626.11亿,44.89亿,3217.70亿,-4.20,-0.66,15.00,2.94亿,15.85,SH,603993,0.79,4.42,15.04,洛阳钼业,否,1.68,否,1,False,19.17,18.55
148,475.90亿,5.82亿,743.75亿,-5.54,-3.21,54.77,1041.50万,58.28,SH,688187,0.89,1.83,54.77,时代电气,否,1.20,否,1,False,19.10,22.25
149,1155.12亿,2.17亿,1155.12亿,-1.85,-0.31,16.38,1310.11万,16.85,SH,600346,0.61,1.84,16.41,恒力石化,否,0.19,否,1,False,19.01,18.94
150,403.51亿,1.10亿,650.37亿,-1.45,-0.20,13.62,801.02万,13.84,SH,601808,0.75,1.45,13.63,中海油服,否,0.27,否,1,False,18.54,16.56
151,5364.21亿,13.20亿,6323.14亿,1.17,0.08,6.82,1.91亿,6.95,SH,601728,1.50,1.35,6.91,中国电信,否,0.25,否,1,False,18.48,13.74
152,345.03亿,6.91亿,509.57亿,-6.68,-3.56,49.50,1367.84万,53.29,SZ,002353,1.76,2.33,49.77,杰瑞股份,否,1.97,否,0,False,18.33,20.53
153,1030.86亿,47.11亿,1237.28亿,-6.38,-0.85,12.43,3.70亿,13.12,SZ,000625,1.48,1.63,12.48,长安汽车,否,4.48,否,0,False,18.25,27.00
154,1271.50亿,18.20亿,1656.67亿,-5.08,-3.40,63.30,2833.07万,65.06,SH,600660,1.70,4.67,63.48,福耀玻璃,否,1.41,否,1,False,18.24,17.59
155,1673.72亿,16.31亿,1700.78亿,-1.09,-0.06,5.43,2.97亿,5.54,SH,600050,0.93,1.02,5.44,中国联通,否,0.97,否,1,False,18.21,13.39
156,1913.10亿,12.35亿,2020.31亿,-1.86,-0.76,40.06,3056.44万,40.91,SZ,002352,0.84,2.12,40.09,顺丰控股,否,0.64,否,0,False,18.20,17.61
157,5130.94亿,8.24亿,6555.71亿,-0.73,-0.04,5.41,1.51亿,5.49,SH,600028,0.96,0.79,5.41,中国石化,否,0.16,否,1,False,18.16,15.26
158,1203.40亿,6.17亿,1337.13亿,-2.02,-0.11,5.32,1.14亿,5.48,SZ,000166,0.90,1.23,5.34,申万宏源,否,0.51,否,0,False,18.15,15.61
159,498.82亿,14.76亿,503.21亿,-4.58,-0.98,20.32,7082.54万,21.87,SH,600487,0.76,1.68,20.40,亨通光电,否,2.90,否,1,False,18.15,15.60
160,421.14亿,5.01亿,578.22亿,-3.19,-0.40,12.07,4076.05万,12.57,SH,600026,0.64,1.62,12.12,中远海能,否,1.17,否,1,False,17.70,15.46
161,1925.55亿,18.81亿,1925.55亿,-2.35,-1.48,61.50,3013.46万,63.65,SH,600309,1.00,1.93,61.51,万华化学,否,0.96,否,1,False,17.53,15.72
162,878.52亿,2.73亿,878.64亿,-0.16,-0.04,25.22,1071.70万,25.57,SZ,000895,1.03,4.22,25.36,双汇发展,否,0.31,否,0,False,17.52,18.91
163,3542.16亿,51.25亿,4311.30亿,-1.89,-0.56,29.05,1.74亿,29.93,SH,600030,0.84,1.59,29.09,中信证券,否,1.43,否,1,False,17.35,15.71
164,774.48亿,25.94亿,1292.29亿,-2.96,-1.14,37.00,6819.54万,39.27,SH,600362,0.55,1.62,37.32,江西铜业,否,3.29,否,1,False,17.18,15.48
165,561.39亿,9.59亿,686.69亿,-3.87,-0.32,7.89,1.19亿,8.25,SZ,000157,0.92,1.20,7.94,中联重科,否,1.69,否,0,False,17.18,12.42
166,394.63亿,14.66亿,612.98亿,-4.46,-0.87,18.62,7748.51万,19.53,SZ,002236,0.93,1.65,18.65,大华股份,否,3.66,否,0,False,17.16,12.38
167,1059.98亿,4.16亿,1138.24亿,-0.70,-0.10,14.17,2915.38万,14.39,SH,600886,0.63,1.79,14.22,国投电力,否,0.39,否,1,False,17.00,15.00
168,528.55亿,8.95亿,528.55亿,-3.02,-0.69,22.10,3970.46万,23.16,SH,601168,0.55,3.18,22.18,西部矿业,否,1.67,否,1,False,16.62,14.14
169,974.36亿,13.26亿,2.33万亿,0.11,0.12,107.47,1227.37万,108.36,SH,600941,0.96,1.67,107.93,中国移动,否,1.36,否,1,False,16.39,13.86
170,1418.81亿,5.12亿,1955.47亿,-3.26,-0.77,22.80,2217.71万,23.60,SH,601633,1.07,2.32,22.85,长城汽车,否,0.36,否,1,False,16.33,15.43
171,1188.68亿,6.25亿,1188.68亿,0.00,0.00,5.89,1.05亿,5.95,SH,601006,0.95,0.72,5.90,大秦铁路,否,0.52,否,1,False,16.30,14.44
172,1294.40亿,11.31亿,1953.98亿,-1.81,-0.33,17.85,6249.45万,18.40,SH,601881,0.97,1.71,17.87,中国银河,否,0.86,否,1,False,16.11,15.06
173,522.02亿,4.47亿,522.95亿,-2.15,-0.54,24.43,1807.23万,25.37,SH,600426,1.01,1.64,24.63,华鲁恒升,否,0.85,否,1,False,16.10,16.67
174,584.43亿,8901.85万,584.43亿,-1.77,-0.90,50.08,176.31万,51.15,SZ,300979,0.80,3.90,50.08,华利集团,否,0.15,否,0,False,16.09,17.49
175,456.05亿,2.01亿,560.20亿,-2.40,-0.13,5.27,3756.06万,5.45,SH,688009,0.93,1.24,5.29,中国通号,否,0.44,否,1,False,15.93,17.28
176,723.39亿,3.86亿,723.39亿,-0.80,-0.12,14.77,2593.95万,15.00,SH,600674,0.83,1.70,14.84,川投能源,否,0.53,否,1,False,15.50,14.70
177,717.17亿,12.53亿,717.17亿,-0.53,-0.11,20.58,5954.13万,21.54,SZ,000807,0.93,2.34,20.68,云铝股份,否,1.72,否,0,False,15.39,12.96
178,1983.75亿,10.72亿,1987.13亿,-1.50,-2.05,134.85,787.53万,137.64,SZ,000568,0.70,4.27,135.00,泸州老窖,否,0.54,否,0,False,15.16,12.97
179,1379.78亿,28.75亿,1777.49亿,-3.75,-0.91,23.22,1.21亿,24.50,SZ,000776,0.76,1.43,23.37,广发证券,否,2.05,否,0,False,15.14,13.74
180,6909.75亿,19.16亿,8324.91亿,-0.26,-0.11,41.65,4547.70万,42.66,SH,601088,1.05,2.07,41.90,中国神华,否,0.28,否,1,False,15.05,16.89
181,701.68亿,4.73亿,701.68亿,-1.92,-0.17,8.66,5390.97万,8.97,SH,601872,0.48,1.73,8.69,招商轮船,否,0.67,否,1,False,14.82,16.51
182,636.60亿,3.48亿,823.56亿,-2.02,-3.21,155.76,220.99万,159.41,SZ,000596,0.90,3.27,155.80,古井贡酒,否,0.54,否,0,False,14.69,11.25
183,511.39亿,1.57亿,677.58亿,0.82,0.11,13.29,1167.17万,13.61,SH,600377,0.99,1.69,13.45,宁沪高速,否,0.31,否,1,False,14.66,13.98
184,641.60亿,4.06亿,641.60亿,-2.59,-0.77,28.86,1391.42万,29.75,SH,600066,0.54,4.87,28.98,宇通客车,否,0.63,否,1,False,14.66,16.57
185,564.72亿,4.55亿,564.72亿,-3.62,-0.62,16.45,2722.52万,16.99,SH,600233,1.27,1.75,16.50,圆通速递,否,0.80,否,1,False,14.65,15.42
186,4699.26亿,21.97亿,4699.46亿,-1.36,-1.67,121.06,1804.08万,122.96,SZ,000858,0.85,3.35,121.07,五 粮 液,否,0.46,否,0,False,14.55,12.05
187,949.53亿,9.96亿,1258.05亿,-1.00,-0.24,23.70,4160.17万,24.24,SH,600585,1.01,0.67,23.74,海螺水泥,否,1.04,否,1,False,14.40,14.40
188,1875.67亿,8.85亿,2212.68亿,-2.03,-0.16,7.70,1.14亿,7.90,SH,601766,0.85,1.30,7.71,中国中车,否,0.47,否,1,False,14.34,15.27
189,1240.80亿,5.00亿,1240.80亿,-1.23,-0.21,16.88,2943.56万,17.23,SH,600989,0.64,2.78,16.92,宝丰能源,否,0.40,否,1,False,14.18,10.85
190,735.38亿,3.11亿,735.38亿,-1.56,-0.06,3.78,8180.30万,3.84,SH,601018,0.62,0.94,3.78,宁波港,否,0.42,否,1,False,13.97,14.16
191,2523.38亿,19.85亿,3296.61亿,-1.99,-0.38,18.70,1.05亿,19.24,SH,601211,0.71,1.06,18.70,国泰海通,否,0.78,否,1,False,13.88,10.47
192,705.22亿,2.94亿,705.22亿,1.27,0.13,10.18,2843.65万,10.41,SZ,001965,1.15,1.08,10.34,招商公路,否,0.42,否,0,False,13.78,14.08
193,616.32亿,10.30亿,616.32亿,-6.40,-1.96,28.50,3527.67万,30.39,SH,601877,1.13,1.44,28.68,正泰电器,否,1.64,否,1,False,13.68,12.06
194,1261.00亿,12.90亿,1477.54亿,-1.96,-0.34,16.98,7511.03万,17.45,SH,600999,0.74,1.28,16.99,招商证券,否,1.01,否,1,False,13.65,14.25
195,1325.55亿,8.42亿,1412.34亿,-2.89,-0.41,13.76,6020.73万,14.26,SZ,002736,0.46,1.50,13.79,国信证券,否,0.63,否,0,False,13.52,13.16
196,662.33亿,7.46亿,768.85亿,-2.88,-0.11,3.70,2.00亿,3.83,SH,601618,0.51,0.75,3.71,中国中冶,否,1.12,否,1,False,13.50,12.40
197,913.18亿,5.75亿,913.18亿,-0.39,-0.02,5.09,1.12亿,5.18,SH,600795,0.95,1.57,5.12,国电电力,否,0.63,否,1,False,13.43,12.39
198,685.91亿,1.81亿,685.91亿,-0.73,-0.10,13.51,1326.20万,13.88,SZ,000708,0.58,1.68,13.59,中信特钢,否,0.26,否,0,False,13.19,12.26
199,890.36亿,19.00亿,1508.63亿,1.55,0.23,14.65,1.25亿,15.41,SH,600188,1.53,2.53,15.03,兖矿能源,否,2.12,否,1,False,13.11,16.21
200,566.67亿,1.04亿,570.48亿,-0.70,-0.13,18.38,562.77万,18.62,SH,600803,0.58,2.47,18.42,新奥股份,否,0.18,否,1,False,13.05,11.85
201,505.27亿,18.60亿,505.65亿,0.31,0.07,22.30,8125.99万,23.80,SZ,000933,1.15,2.26,22.48,神火股份,否,3.62,否,0,False,12.88,13.28
202,5045.46亿,20.17亿,5593.35亿,-0.52,-0.38,72.64,2764.91万,73.59,SZ,000333,0.64,2.59,72.80,美的集团,否,0.40,否,0,False,12.79,10.75
203,489.82亿,5.96亿,551.71亿,0.76,0.09,11.74,4994.65万,12.22,SZ,002532,0.80,1.98,11.86,天山铝业,否,1.21,否,0,False,12.35,13.24
204,794.50亿,8.53亿,1021.43亿,-1.21,-0.03,2.44,3.46亿,2.50,SH,601868,0.72,0.94,2.45,中国能建,否,1.07,否,1,False,12.14,18.23
205,1115.13亿,24.08亿,1453.08亿,-1.48,-0.13,8.45,2.80亿,8.86,SH,601600,0.68,2.03,8.47,XD中国铝,否,2.13,否,1,False,11.66,10.28
206,1564.88亿,11.14亿,2346.99亿,-0.91,-0.23,25.01,4421.99万,25.50,SH,600690,0.89,2.04,25.02,海尔智家,否,0.71,否,1,False,11.52,9.75
207,2176.53亿,13.03亿,2176.53亿,-0.40,-0.09,22.28,5782.76万,22.80,SH,601225,0.82,2.45,22.45,陕西煤业,否,0.60,否,1,False,11.52,14.25
208,717.86亿,8.36亿,1254.76亿,-1.71,-0.25,14.37,5764.47万,14.67,SZ,000338,0.68,1.40,14.40,潍柴动力,否,1.16,否,0,False,11.26,11.12
209,446.26亿,3.92亿,666.24亿,-0.83,-0.03,3.58,1.08亿,3.67,SH,601991,0.79,2.00,3.60,大唐发电,否,0.87,否,1,False,11.15,7.27
210,354.34亿,7957.76万,509.75亿,-0.53,-0.11,20.51,384.87万,20.81,SZ,001872,0.79,0.81,20.54,招商港口,否,0.22,否,0,False,11.09,9.70
211,506.24亿,2.81亿,673.07亿,-0.98,-0.18,18.12,1535.20万,18.41,SH,601607,0.77,0.90,18.15,上海医药,否,0.55,否,1,False,11.09,7.55
212,1575.34亿,27.89亿,1946.19亿,-2.22,-0.49,21.56,1.27亿,22.32,SH,601688,0.60,1.17,21.56,华泰证券,否,1.74,否,1,False,11.06,12.89
213,580.22亿,2.60亿,751.30亿,1.17,0.10,8.46,3009.07万,8.72,SH,600039,0.78,1.58,8.64,四川路桥,否,0.45,否,1,False,11.06,13.51
214,1107.87亿,6.32亿,1236.30亿,-0.27,-0.05,18.52,3382.69万,18.90,SZ,300498,0.65,2.99,18.58,温氏股份,否,0.57,否,0,False,10.88,17.79
215,8498.08亿,14.25亿,1.15万亿,-4.12,-1.75,40.68,3429.39万,42.75,SH,601628,1.34,2.23,40.81,XD中国人,否,0.16,否,1,False,10.53,14.09
216,540.44亿,4.22亿,540.44亿,0.29,0.07,24.00,1739.62万,24.74,SZ,002128,1.07,1.51,24.11,电投能源,否,0.78,否,0,False,10.43,9.70
217,466.95亿,1.41亿,562.13亿,0.58,0.05,8.59,1631.53万,8.72,SH,601298,0.86,1.28,8.66,青岛港,否,0.30,否,1,False,10.34,9.89
218,1216.30亿,9.39亿,1762.08亿,0.00,0.00,13.11,7029.68万,13.59,SH,601898,1.35,1.13,13.29,中煤能源,否,0.77,否,1,False,10.22,11.44
219,1928.92亿,16.36亿,2765.25亿,-1.38,-0.71,50.38,3216.14万,51.48,SZ,002714,0.69,3.57,50.62,牧原股份,否,0.84,否,0,False,10.03,13.13
220,446.79亿,3.92亿,609.62亿,-0.76,-0.04,5.24,7415.82万,5.32,SH,600027,0.97,1.27,5.25,华电国际,否,0.87,否,1,False,9.90,7.81
221,709.41亿,4.49亿,717.95亿,-2.14,-0.51,23.30,1905.48万,23.94,SZ,002001,0.76,2.40,23.36,新 和 成,否,0.63,否,0,False,9.88,9.96
222,822.63亿,6.08亿,1174.22亿,0.00,0.00,7.45,8098.25万,7.58,SH,600011,1.12,1.89,7.48,华能国际,否,0.74,否,1,False,9.83,6.34
223,1.36万亿,12.64亿,1.54万亿,-0.24,-0.02,8.36,1.50亿,8.50,SH,601857,0.89,0.99,8.41,中国石油,否,0.09,否,1,False,9.63,9.16
224,501.32亿,9.11亿,501.32亿,-1.61,-0.45,27.44,3272.84万,28.39,SH,600096,0.66,2.25,27.50,云天化,否,1.80,否,1,False,9.54,9.08
225,765.14亿,11.08亿,1.22万亿,-0.60,-0.15,25.56,4302.94万,25.92,SH,600938,0.92,1.55,25.59,XD中国海,否,1.44,否,1,False,9.52,8.75
226,694.57亿,3.90亿,694.57亿,-0.19,-0.01,5.17,7509.08万,5.24,SH,600023,0.75,0.94,5.18,XD浙能电,否,0.56,否,1,False,9.46,9.89
227,2.43万亿,45.75亿,2.67万亿,1.74,0.13,7.47,6.03亿,7.69,SH,601288,1.12,1.00,7.62,农业银行,否,0.19,否,1,False,9.33,9.56
228,615.10亿,4.94亿,615.10亿,-1.56,-0.31,19.44,2496.00万,20.33,SH,600741,1.10,0.98,19.51,华域汽车,否,0.79,否,1,False,9.16,10.67
229,4312.97亿,10.84亿,4312.97亿,0.00,0.00,13.11,8169.32万,13.44,SH,600000,0.61,0.61,13.32,浦发银行,否,0.25,否,1,False,9.07,7.32
230,1293.05亿,1.94亿,1296.77亿,-0.36,-0.02,5.56,3464.32万,5.64,SH,600018,0.81,0.95,5.57,上港集团,否,0.15,否,1,False,8.90,8.06
231,597.21亿,7.22亿,597.60亿,-2.63,-0.48,17.70,4026.84万,18.25,SZ,002648,0.86,1.92,17.74,卫星化学,否,1.20,否,0,False,8.84,10.89
232,742.46亿,11.58亿,978.45亿,-1.90,-0.11,5.66,2.02亿,5.82,SH,601669,0.66,0.68,5.68,中国电建,否,1.55,否,1,False,8.78,9.02
